 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
1	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0002-0001-0488:c:1/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	4.043	44.876	34.049	0	141	103.998	68.927	0.596	181.427	40	9065.000	1	2	1.546	0.647	0.792
2	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0013-0001-0367:c:1/4 z:13/50 - Lightning 001/Mark_and_Find 001/Position010	5.484	35.938	34.693	0	167	94.126	51.954	0.874	197.077	28	9847.000	1	13	1.310	0.764	0.934
3	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0001-0367:c:1/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.663	48.481	38.671	0	173	94.492	51.992	0.860	177.564	37	8872.000	1	14	1.302	0.768	0.899
4	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0002-0374:c:1/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.442	44.500	35.648	0	157	100.364	52.985	0.727	153.187	37	7654.000	1	14	1.957	0.511	0.884
5	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0003-0662:c:1/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	38.416	32.951	0	226	90.839	93.664	0.745	206.824	32	10334.000	1	14	1.993	0.502	0.912
6	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0001-0375:c:1/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	7.865	37.669	34.124	0	184	100.499	53.116	0.878	296.287	30	14804.000	1	15	1.241	0.806	0.941
7	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0002-0660:c:1/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	10.607	39.798	33.679	0	238	91.621	93.205	0.747	422.154	33	21093.000	1	15	1.718	0.582	0.905
8	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0001-0373:c:1/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	40.130	35.327	0	201	100.144	52.927	0.858	216.051	32	10795.000	1	16	1.288	0.776	0.920
9	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0002-0411:c:1/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	8.626	36.596	34.078	0	171	72.606	58.420	0.756	315.680	31	15773.000	1	16	1.609	0.622	0.894
10	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0003-0655:c:1/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	12.869	38.950	35.397	0	186	92.588	92.805	0.786	501.250	32	25045.000	1	16	1.384	0.722	0.913
