 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
1	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0001-0433:c:1/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	131.211	103.399	67.066	0	255	78.256	61.065	0.907	13567.141	97	677884.000	1	1	1.049	0.953	0.983
2	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0002-0508:c:1/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	182.007	101.493	68.646	0	255	101.022	71.900	0.895	18472.461	91	922979.000	1	1	1.134	0.882	0.985
3	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0003-0604:c:1/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	153.487	105.391	71.163	0	255	74.940	85.434	0.899	16176.120	98	808242.000	1	1	1.042	0.960	0.983
4	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0001-0433:c:1/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	94.766	105.983	68.292	0	255	78.040	61.175	0.898	10043.584	99	501829.000	1	2	1.085	0.922	0.978
5	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0002-0507:c:1/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	167.957	94.845	62.798	0	255	100.807	71.729	0.898	15929.928	85	795941.000	1	2	1.124	0.890	0.984
6	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0003-0605:c:1/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	128.570	102.243	68.970	0	255	74.886	85.639	0.898	13145.286	93	656806.000	1	2	1.056	0.947	0.981
7	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0003-0001-0506:c:1/4 z:3/50 - Lightning 001/Mark_and_Find 001/Position010	142.559	90.977	59.043	0	255	100.771	71.630	0.904	12969.684	83	648032.000	1	3	1.130	0.885	0.983
8	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0003-0002-0606:c:1/4 z:3/50 - Lightning 001/Mark_and_Find 001/Position010	96.647	98.521	65.718	0	255	74.956	85.789	0.904	9521.780	90	475757.000	1	3	1.105	0.905	0.979
9	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0004-0001-0505:c:1/4 z:4/50 - Lightning 001/Mark_and_Find 001/Position010	116.281	89.168	57.120	0	255	100.756	71.573	0.900	10368.550	81	518066.000	1	4	1.098	0.911	0.982
10	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0005-0001-0506:c:1/4 z:5/50 - Lightning 001/Mark_and_Find 001/Position010	83.498	84.734	54.948	0	255	100.867	71.550	0.907	7075.114	77	353509.000	1	5	1.054	0.949	0.980
11	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0010-0001-0379:c:1/4 z:10/50 - Lightning 001/Mark_and_Find 001/Position010	101.431	87.312	58.754	0	255	96.189	53.582	0.898	8856.136	78	442498.000	1	10	1.160	0.862	0.981
12	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0010-0002-0636:c:1/4 z:10/50 - Lightning 001/Mark_and_Find 001/Position010	80.356	93.608	60.614	0	255	93.378	90.292	0.894	7522.005	86	375838.000	1	10	1.103	0.907	0.978
